   84   92  107  121
  107   92  115  121
   87   14   51  111
   19   88   22  110
   92   25  115  121
   48  115   25  121
   88   19   22    2
   51    6   14   87
   22   73   19  110
   51    6   87   28
   50   27  102  122
   16   61  117   94
  117   38    4   94
   62   16  117   94
  117    4   47   94
   62  117   17   47
   47   62   94    8
  102   14   50  122
   92   99   98  115
  100   92   98  115
   30  104  103   53
  103   81   24   71
   52  103   30   29
   23   80   24   72
  104   30  103   81
  103   81   71  104
   80  103   81   24
  103   30   80   81
   82   60   61  105
  103   52   30   53
   24  103   71   72
  105   82   37   38
   61   45   60   82
   99   77   92   98
   92   77   75   98
  100   75   92   76
   75  100   92   98
   63  105   37   38
   61   45   82   46
   64   63  105   37
   76   78  107   88
   29  103   30   80
   80  103   24   72
   96   29   80  119
   97   80   23  120
   82   60  105  108
   82  105   37   85
  100   88  101  110
  111   79   77   87
   82   60  108   85
   60   59  108   85
   45   59   60   85
   45   59   85   44
   82   45   60   85
  105  108   37   85
   37  108   36   85
  108   64   37   36
   65   64  108   36
   64  105  108   37
   44   59   85   86
   85  109   36   86
   84   11   48  107
  109   85   36  108
   59  109   85   86
  108   59  109   85
   65  108  109   36
   26    5   83  106
   59   58  109   86
  117   63   17   38
   59   43   86   44
   59   43   58   86
  109   35   36   86
  109   89   58  112
   89  109   58   86
   26   92   25  115
   65  109   35   36
   65  109   66   35
   58   43   89   86
  109  112   35   89
   35  109   89   86
  109  112   66   35
   58   57  112   89
   26   48  115   25
   57   43   42   89
   58   43   57   89
   35  112   34   89
    6   79   27  122
   26   48   49  115
  112   66   35   34
  112   67   66   34
   89  113   34   90
   57  113   89   90
   42   57   89   90
  113   89   34  112
  112   57  113   89
   67  112  113   34
   57   56  113   90
   49    5  106   12
    1   48   84   11
    1   48   25   84
   94   46   16   61
  113   33   34   90
   56   57   41   90
   41   57   42   90
   93  113   56   90
  113   93   56  116
   83   99  115  106
   84   92   76  107
   49    5   26  106
   29  103  119   52
   23   80   72  120
   68   67  113   33
   67  113   33   34
  113   93   33   90
   93   56   41   90
   93  116  113   33
   17  117    4   47
   62   16   94    8
  116   68  113   33
   17  117   38    4
   46   94   16    8
   93  116   55   56
   40   93   55   41
   55   93   56   41
   93   32  116   33
   93   95   40   55
   93  118   32   95
  118   93   32  116
   93  118   95   55
  118   93  116   55
   32   68  116   33
   68   32  116   69
   32  118  116   69
   99  102   79  111
   27   79  102  122
   40   95   39   55
   31  118   95   32
  118   95   55   54
   31  118   32   69
   95   39   55   54
  118   31   70   69
   91   18  114   70
   83   99   92  115
   92  100  107  115
  118   91   54  114
  114  118   91   70
  103   29  119   80
   80  103   72  120
   91  118   54   95
  118   31   95   91
   96   98   80   75
   75   80  120   98
    7  114   54   91
  114    7   54   15
   91   18   70    3
  118   31   91   70
   39   95   91   54
   31    3   91   70
   91   54    7   39
   98   96   80  119
   80   97   75  120
   77   96   75   98
   99   77   98  119
   75  120  100   98
   75   97   76  100
   77   96   98  119
  120   75  100   97
  105   82  108   85
  100   92  107   76
   99   77   83   92
  106   26  115   83
   52   28   51  119
   22   97   23   73
   28   29   96  119
   97   23   73  120
  117   82   38   94
  117   61  105   94
   18  104   91  114
   26   83   92  115
    7  114   91  104
   81   18   91    3
  114    7   15  104
   26  106  115   49
   80  103   98  119
   80  103  120   98
    7   30   15  104
   81    3   71   18
   52   28  119   29
   23   72   73  120
  100   88  107  101
   79   99  111   77
   61   82  105   94
  117   82  105   38
   77   87   51  111
   88  100   22  110
   18   81   91  104
   81    7   91  104
   63  117  105   38
   61   82   94   46
   88   78  107  101
   30   53   15  104
   81    3   24   71
   71   81   18  104
   30    7   81  104
   99   77  119   51
  100   22   97   76
   77   28  119   51
   22  100   97   73
   77   28   96  119
  100   97   73  120
  106   79   99  102
   78  101   11  107
    5   79  106  102
   78   76  107   84
   79  106   99   83
   84   78   11  107
    5   79   83  106
   99   77   51  111
  100   88   22   76
   87   28   77   51
   22  100   73  110
   79   99   77   83
   84   78    1   11
   12    5  106  102
   62  117   47   94
   88  100  107   76
   14   87   79  111
  101   88   19  110
  102   79   14  122
   82  117  105   94
   79  102   14  111
    2   78   88  101
   48   84  107  121
   50    6   27  122
   48   25   84  121
   74   78   11   21
    5   50   27  102
   21   78    2   74
   14   79    6  122
   87   14   79    6
   88    2  101   19
   78   74   11  101
   79    5   27  102
    2  101   74   78
    1   78   21   11
    5   50  102   12
  101    2   74   19
    6   50   14  122
   48  107  115  121
   92   84   25  121
